gene,Epi_mock1,Epi_mock2,Epi_mock3,Epi_KD1,Epi_KD2,Epi_KD3,Fib_mock1,Fib_mock2,Fib_mock3,Fib_KD1,Fib_KD2,Fib_KD3
LOC101928929,0,0,0,0,0,0,0,0,0,0,0,0
RNU4-64P,0,0,0,0,0,0,0,0,0,0,0,0
TLR3,169,403,295,144,202,201,1,6,0,1,0,0
FAM149A,688,1467,1182,775,1019,834,0,0,0,3,0,0
RPSAP70,30,40,35,41,35,25,0,0,0,0,0,0
LTO1P1,5,6,4,6,3,7,0,0,0,0,0,0
FLJ38576,13,19,31,18,24,12,0,0,4,4,0,1
CYP4V2,607,1265,933,655,993,793,215,192,130,136,127,134
KLKB1,2,24,3,10,18,13,0,0,0,0,0,0
F11,0,0,0,1,0,1,0,0,0,0,0,0
F11-AS1,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1055P,0,0,0,0,0,0,0,0,0,0,0,0
MTNR1A,0,1,6,0,2,6,0,0,0,0,0,0
FAT1,3826,12697,10144,4278,10054,11116,6116,4875,5441,6822,4779,4664
LINC02514,0,0,1,0,0,0,0,0,0,0,0,0
COPS3P1,0,0,0,0,0,0,0,0,0,0,0,0
LINC02492,0,0,0,0,0,0,0,0,0,0,0,0
LOC105377603,0,0,0,0,0,0,0,0,0,0,0,0
ADAM20P3,0,0,0,0,0,0,0,0,0,0,0,0
ZFP42,1,0,0,0,0,0,0,0,0,0,0,0
TRIML2,4,1,1,3,2,6,56,66,44,23,17,42
FAUP3,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-173P,1,0,0,3,3,1,0,0,0,2,0,0
TRIML1,0,0,0,0,0,0,1,0,0,0,0,0
LOC107986337,0,0,0,0,0,0,0,0,0,0,0,0
LINC02434,0,0,0,0,0,0,0,0,0,0,0,0
RPL7AP27,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-192P,0,0,0,0,0,0,0,0,0,0,0,0
LOC101930028,0,0,1,0,0,0,0,0,0,0,0,0
LOC124900838,0,0,0,0,0,0,0,0,0,0,0,0
LINC01262,0,0,0,0,0,0,0,0,0,0,0,0
RNU1-51P,0,0,0,0,0,0,0,0,0,0,0,0
FRG1-DT,11,30,22,11,18,9,1,0,0,0,0,0
LINC01596,0,0,0,0,0,0,0,0,0,0,0,0
FRG1,668,1091,856,1035,736,850,491,483,519,489,651,574
MLLT10P2,0,0,0,0,0,0,0,0,0,0,0,0
TUBB7P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP174,0,0,0,0,0,0,1,2,2,0,1,2
RNA5SP175,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L9,11,11,10,4,8,6,0,0,0,1,3,0
FRG2,0,1,0,0,1,1,0,1,2,0,0,0
DBET,1,0,0,0,0,0,0,0,0,0,0,0
DUX4L8,1,0,0,1,0,0,0,0,0,0,0,0
DUX4L7,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L6,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L5,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L4,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L1,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L3,0,0,0,0,0,0,0,0,0,0,0,0
DUX4L2,0,0,0,0,0,0,0,0,0,0,0,0
DUX4,0,0,0,1,0,0,0,0,0,0,0,0
RPL23AP84,0,0,0,0,0,0,0,0,0,0,0,0
SPICP4,0,0,0,0,0,0,0,0,0,0,0,0
PLEKHG4B,3,4,3,3,2,2,25,10,11,6,2,13
LRRC14B,0,0,1,0,0,0,0,0,0,0,0,2
CCDC127,365,705,543,574,538,559,534,443,436,510,470,548
SDHA,2182,3924,3070,5099,5275,5357,2516,2345,2436,2178,2227,2345
PDCD6,828,1128,1048,2067,1763,1721,1002,910,975,1079,1173,1097
AHRR,48,111,56,65,110,84,730,592,764,775,594,656
LOC100310782,0,0,0,0,0,0,0,0,1,0,2,0
EXOC3,575,983,886,877,887,967,818,700,892,893,868,872
SLC9A3-OT1,2,1,5,0,1,2,1,1,1,2,1,0
SLC9A3,27,47,53,16,23,36,22,8,9,13,20,18
MIR4456,0,0,0,0,0,0,0,0,0,0,0,0
CEP72,124,268,250,158,231,212,71,39,69,37,75,59
TPPP,22,33,23,3,16,15,8,8,9,12,10,8
ZDHHC11B,4,3,2,1,3,5,2,11,3,4,5,4
BRD9P2,0,0,0,0,0,0,0,0,2,0,0,0
ZDHHC11,78,78,92,85,90,125,4,1,8,2,3,3
BRD9,467,730,707,726,608,703,1136,1066,1177,1046,1336,1382
TRIP13,1042,1717,1591,1641,1578,1737,932,737,1040,667,1053,1050
