gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MIR6859-1,4.630678116994615,-1.0218393248959061,1.0094809320856903,-1.0122423241662248,0.3114222041042656,0.48623945329186385
OR4G4P,0.09934890067188774,0,4.407356323966969,0,1,NA
CICP27,4.953439767756375,-0.5256470274596542,0.840596237221132,-0.6253264102125341,0.5317568497689011,0.70092706809864
RPL23AP21,9.859657832337636,-1.2094123158818604,0.5618839230239486,-2.1524237770909007,0.03136399267363675,0.08661839313391217
RPL23AP24,0.8612620830234301,-0.7378737504858114,2.1445264102237513,-0.34407305359733226,0.7307913472024921,NA
MTND1P23,17.73422954746994,-0.11918525702609589,0.5500633871530421,-0.2166754956059917,0.828461246017159,0.9187267872620274
MTND2P28,297.75891701121657,-0.6103390632515583,0.27003228599691204,-2.26024477405838,0.023806063414418224,0.06982928246135099
MTCO1P12,892.355763343712,-0.21820507646176118,0.1622174095790317,-1.3451396926385544,0.17858012714794255,0.3283542216942702
MTCO2P12,36.268617476844454,-0.4378939183496442,0.3255808357543594,-1.3449622037337035,0.17863744062059397,0.32841989143716016
MTATP6P1,9784.432132284373,-0.2187897594125881,0.19399319423466935,-1.1278218304293854,0.2593951719226255,0.42787957817689287
MTCO3P12,47.33319446114186,-0.4047738544024616,0.3165809640648147,-1.2785792588577465,0.2010452577087626,0.35776409464241593
RNU6-1199P,0.08448857569644126,0,4.407356323966969,0,1,NA
LINC01409,22.462805791502365,-0.26884151034715126,0.35246762335014775,-0.7627410080729009,0.445617868939237,0.6216189135629305
FAM87B,3.0402999620352174,1.299804459602089,1.4228856103585814,0.9134989138547303,0.36098020457488234,NA
LINC01128,173.1105200534391,0.156857299558285,0.1978588597858583,0.792773695997495,0.42790968441031974,0.6050580863997881
FAM41C,0.16723079688591314,0.9673126585181784,4.407356323966969,0.21947684448792662,0.8262786155784414,NA
LINC02593,64.1301006866228,-2.9639666083422935,1.3321244641539454,-2.224992249672975,0.026081758441626298,0.07494858376142631
SAMD11,197.74460132084226,-4.206676726771332,1.1005330864689673,-3.8223991431900957,1.3215953920690438e-4,8.845149441814207e-4
NOC2L,2321.033291777611,0.0982426618109224,0.11108023164690223,0.8844297527503595,0.37646426773367525,0.5537353119712001
KLHL17,166.8352248463984,0.12132215236878763,0.3073508258899128,0.394735078448245,0.693038411791749,0.8188936272985728
PLEKHN1,58.48521547159915,1.4146627074097309,0.37717175562330935,3.7507122055623623,1.763329993204012e-4,0.0011376719458897624
PERM1,29.515988637402817,2.0688884700261845,0.5752370472890113,3.5965841904245974,3.224232610110407e-4,0.0019039876143432564
HES4,182.93254498228762,0.28371187059808034,0.3194852929057739,0.8880279527663759,0.3745257154155683,0.5517378442752501
